"houseID","totalPrice","date"
"107000017859","340","20/4/2018 14:47:54"
"107000017867","310","20/4/2018 14:26:44"
"107000017989","370","20/4/2018 14:39:32"
"107000018239","386","20/4/2018 14:15:25"
"107000018573","480","20/4/2018 14:19:06"
"107000018687","380","20/4/2018 14:52:10"
"107000019001","415","20/4/2018 14:46:09"
"107000019129","450","20/4/2018 14:43:18"
"107000019245","260","20/4/2018 10:14:16"
"107000019297","195","20/4/2018 15:11:36"
"107000019351","190","20/4/2018 15:09:20"
"107000019927","1300","20/4/2018 14:46:25"
"107000020083","1060","20/4/2018 14:15:18"
"107000020223","870","20/4/2018 14:44:13"
"107000020333","300","20/4/2018 14:38:25"
"107000020429","220","20/4/2018 14:19:16"
"107000020463","215","20/4/2018 14:35:22"
"107000020497","665","20/4/2018 14:30:27"
"107000020523","485","20/4/2018 14:23:20"
"107000020993","1150","20/4/2018 14:52:37"
"107000021045","620","20/4/2018 14:57:35"
"107000021121","680","20/4/2018 10:13:09"
"107000021369","750","20/4/2018 14:58:23"
"107000021405","580","20/4/2018 14:48:37"
"107000021617","475","20/4/2018 14:48:03"
"107000021667","530","20/4/2018 14:28:09"
"107000021711","550","20/4/2018 14:50:23"
"107000021719","770","20/4/2018 14:57:29"
"107000021763","390","20/4/2018 15:04:24"
"107000021853","363","20/4/2018 14:57:55"
"107000021895","930","20/4/2018 14:53:02"
"107000022051","780","20/4/2018 14:29:23"
"107000022123","495","20/4/2018 14:25:38"
"107000022263","430","20/4/2018 14:53:49"
"107000022611","265","20/4/2018 15:09:12"
"107000023005","185","20/4/2018 14:49:28"
"107000023095","375","20/4/2018 14:45:01"
"107000023133","1080","20/4/2018 14:30:58"
"107000023623","730","20/4/2018 15:05:58"
"107000023647","695","20/4/2018 14:30:41"
"107000023651","870","20/4/2018 10:14:56"
"107000023745","1300","20/4/2018 14:55:07"
"107000023937","510","20/4/2018 14:59:09"
"107000024001","290","20/4/2018 14:43:46"
"107000024127","250","20/4/2018 14:17:12"
"107000024481","1620","20/4/2018 14:53:30"
"107000024569","308","20/4/2018 14:24:14"
"107000024781","420","20/4/2018 10:12:36"
"107000024793","350","20/4/2018 15:06:10"
"107000024891","350","20/4/2018 15:09:23"
"107000025013","330","20/4/2018 14:27:22"
"107000025039","227","20/4/2018 14:30:14"
"107000025227","360","20/4/2018 14:19:32"
"107000025301","420","20/4/2018 14:35:47"
"107000025613","950","20/4/2018 14:55:26"
"107000025847","222","20/4/2018 15:04:45"
"107000026315","1300","20/4/2018 14:26:01"
"107000027263","450","20/4/2018 14:30:30"
"107000027409","620","20/4/2018 14:56:34"
"107000027713","990","20/4/2018 14:55:24"
"107000027891","470","20/4/2018 14:47:26"
"107000028045","920","20/4/2018 14:40:10"
"107000028187","900","20/4/2018 14:38:58"
"107000028275","240","20/4/2018 10:11:32"
"107000028519","1100","20/4/2018 14:31:01"
"107000028719","230","20/4/2018 14:43:54"
"107000028761","1370","20/4/2018 14:54:29"
"107000029317","1130","20/4/2018 14:28:57"
"107000029347","580","20/4/2018 14:55:12"
"107000029669","150","20/4/2018 15:02:40"
"107000029919","1120","20/4/2018 14:28:57"
"107000030045","960","20/4/2018 14:55:18"
"107000030259","400","20/4/2018 10:12:36"
"107000030447","490","20/4/2018 14:24:31"
"107000030769","883","20/4/2018 14:31:34"
"107000031171","1320","20/4/2018 14:31:45"
"107000031425","1220","20/4/2018 14:52:32"
"107000031811","850","20/4/2018 14:55:24"
"107000032151","3120","20/4/2018 14:56:19"
"107000032159","820","20/4/2018 14:55:09"
"107000032161","1450","20/4/2018 14:55:24"
"107000032175","3600","20/4/2018 14:28:09"
"107000032179","1680","20/4/2018 14:25:03"
"107000032265","630","20/4/2018 14:34:50"
"107000032445","800","20/4/2018 14:55:24"
"107000032819","1198","20/4/2018 14:52:13"
"107000032855","900","20/4/2018 14:55:18"
"107000032881","1380","20/4/2018 14:38:22"
"107000032969","950","20/4/2018 14:39:29"
"107000033105","2134","20/4/2018 14:55:46"
"107000033283","1500","20/4/2018 14:56:36"
"107000033593","1300","20/4/2018 14:33:04"
"107000033803","1520","20/4/2018 14:55:01"
"107000033805","4600","20/4/2018 14:55:43"
"107000034119","500","20/4/2018 14:56:39"
"107000034153","970","20/4/2018 14:55:01"
"107000034411","1200","20/4/2018 14:55:29"
"107000034477","1600","20/4/2018 14:52:13"
"107000034535","1150","20/4/2018 10:10:06"
"107000034543","1220","20/4/2018 14:24:39"
"107000034591","2680","20/4/2018 14:27:14"
"107000034735","683","20/4/2018 14:31:13"
"107000034741","670","20/4/2018 14:55:29"
"107000034789","900","20/4/2018 14:29:02"
"107000034917","390","20/4/2018 14:56:02"
"107000035057","970","20/4/2018 14:39:37"
"107000035189","880","20/4/2018 14:52:32"
"107000035267","1200","20/4/2018 14:25:06"
"107000035341","3100","20/4/2018 14:54:35"
"107000035511","1840","20/4/2018 14:55:24"
"107000035515","1200","20/4/2018 14:55:29"
"107000035565","1750","20/4/2018 14:53:10"
"107000035663","2100","20/4/2018 14:26:12"
"107000035843","1100","20/4/2018 14:25:29"
"107000036115","1698","20/4/2018 14:55:24"
"107000036125","755","20/4/2018 14:29:05"
"107000036139","980","20/4/2018 14:31:54"
"107000036179","380","20/4/2018 10:10:21"
"107000036445","1200","20/4/2018 14:29:22"
"107000036459","890","20/4/2018 14:55:04"
"107000036513","1550","20/4/2018 14:26:03"
"107000036571","3100","20/4/2018 15:07:43"
"107000036627","1160","20/4/2018 14:55:01"
"107000036889","1150","20/4/2018 14:54:13"
"107000036941","360","20/4/2018 14:30:30"
"107000037061","1190","20/4/2018 14:25:35"
"107000037081","510","20/4/2018 14:29:22"
"107000037293","750","20/4/2018 14:55:01"
"107000037477","320","20/4/2018 14:21:15"
"107000037791","1950","20/4/2018 14:25:17"
"107000037793","320","20/4/2018 14:29:14"
"107000037915","1200","20/4/2018 14:55:18"
"107000037969","880","20/4/2018 14:39:12"
"107000038165","900","20/4/2018 14:25:17"
"107000038195","1300","20/4/2018 14:53:07"
"107000038263","1300","20/4/2018 14:56:14"
"107000038383","660","20/4/2018 14:15:25"
"107000038401","330","20/4/2018 14:38:36"
"107000038419","1000","20/4/2018 14:55:24"
"107000038595","1600","20/4/2018 14:56:05"
"107000038631","1450","20/4/2018 14:55:35"
"107000038635","580","20/4/2018 14:55:38"
"107000038707","672","20/4/2018 14:51:49"
"107000038803","1682","20/4/2018 14:56:11"
"107000038913","750","20/4/2018 14:16:24"
"107000039019","2000","20/4/2018 15:06:41"
"107000039393","920","20/4/2018 14:55:57"
"107000039461","1200","20/4/2018 14:56:02"
"107000039515","1680","20/4/2018 14:52:32"
"107000039597","1900","20/4/2018 14:55:07"
"107000039605","815","20/4/2018 14:52:51"
"107000039693","1450","20/4/2018 14:29:05"
"107000039833","1380","20/4/2018 14:38:39"
"107000039903","1680","20/4/2018 14:39:32"
"107000039915","495","20/4/2018 14:56:45"
"107000039937","215","20/4/2018 14:57:32"
"107000040015","400","20/4/2018 15:02:50"
"107000040333","1150","20/4/2018 14:53:07"
"107000040351","650","20/4/2018 14:56:31"
"107000040365","1280","20/4/2018 14:52:32"
"107000040367","950","20/4/2018 14:55:12"
"107000040419","545","20/4/2018 14:25:20"
"107000040523","395","20/4/2018 14:55:52"
"107000040525","750","20/4/2018 14:55:52"
"107000040529","1490","20/4/2018 14:25:12"
"107000040683","1380","20/4/2018 14:26:14"
"107000041037","600","20/4/2018 14:55:29"
"107000041043","1480","20/4/2018 14:55:40"
"107000041057","585","20/4/2018 14:55:55"
"107000041073","1350","20/4/2018 14:56:17"
"107000041197","560","20/4/2018 14:56:14"
"107000041267","2600","20/4/2018 14:52:13"
"107000041307","860","20/4/2018 14:53:10"
"107000041673","4500","20/4/2018 10:14:31"
"107000041817","1200","20/4/2018 14:55:35"
"107000042001","3800","20/4/2018 14:55:29"
"107000042079","610","20/4/2018 14:48:12"
"107000042387","2700","20/4/2018 14:45:38"
"107000042389","1010","20/4/2018 14:33:27"
"107000042753","710","20/4/2018 14:55:12"
"107000042839","980","20/4/2018 14:31:01"
"107000042965","1680","20/4/2018 14:55:04"
"107000043045","730","20/4/2018 14:55:49"
"107000043059","1150","20/4/2018 14:52:08"
"107000043085","1650","20/4/2018 14:56:19"
"107000043143","1750","20/4/2018 14:25:44"
"107000043255","545","20/4/2018 14:55:57"
"107000043267","825","20/4/2018 14:40:46"
"107000043517","1380","20/4/2018 14:39:15"
"107000043907","688","20/4/2018 14:30:03"
"107000044095","698","20/4/2018 14:30:52"
"107000044133","885","20/4/2018 14:33:16"
"107000044317","495","20/4/2018 15:01:55"
"107000044493","1400","20/4/2018 14:24:17"
"107000044517","530","20/4/2018 14:55:07"
"107000044531","1300","20/4/2018 14:52:24"
"107000044619","670","20/4/2018 14:55:04"
"107000044673","1520","20/4/2018 14:38:13"
"107000044827","332","20/4/2018 14:58:01"
"107000044891","960","20/4/2018 14:55:46"
"107000045019","1100","20/4/2018 14:38:44"
"107000045025","770","20/4/2018 14:25:09"
"107000045063","1300","20/4/2018 14:56:45"
"107000045323","480","20/4/2018 14:48:09"
"107000045531","900","20/4/2018 14:56:17"
"107000045657","760","20/4/2018 14:55:04"
"107000045689","400","20/4/2018 14:41:00"
"107000045697","700","20/4/2018 14:52:10"
"107000045883","520","20/4/2018 14:41:24"
"107000045895","1145","20/4/2018 14:51:49"
"107000046065","3300","20/4/2018 10:11:54"
"107000046191","1150","20/4/2018 14:24:42"
"107000046195","285","20/4/2018 14:58:54"
"107000046253","1530","20/4/2018 14:55:01"
"107000046263","1300","20/4/2018 14:55:01"
"107000046559","1300","20/4/2018 14:55:18"
"107000046603","818","20/4/2018 14:39:37"
"107000046617","1200","20/4/2018 14:26:03"
"107000046619","3998","20/4/2018 14:53:07"
"107000046815","480","20/4/2018 14:56:36"
"107000047153","2300","20/4/2018 14:55:04"
"107000047423","807","20/4/2018 14:18:44"
"107000047465","1218","20/4/2018 10:14:31"
"107000047729","1045","20/4/2018 14:55:35"
"107000047767","600","20/4/2018 14:57:55"
"107000047949","950","20/4/2018 10:10:36"
"107000047959","290","20/4/2018 15:02:12"
"107000048121","1580","20/4/2018 10:13:43"
"107000048189","1700","20/4/2018 14:55:15"
"107000048215","850","20/4/2018 14:56:39"
"107000048223","5550","20/4/2018 14:56:19"
"107000048403","1350","20/4/2018 14:52:05"
"107000048487","1290","20/4/2018 15:03:21"
"107000048507","345","20/4/2018 14:55:32"
"107000048813","340","20/4/2018 14:24:57"
"107000049153","185","20/4/2018 14:50:22"
"107000049295","830","20/4/2018 14:57:52"
"107000049637","790","20/4/2018 14:56:19"
"107000049701","860","20/4/2018 14:24:17"
"107000049795","950","20/4/2018 14:53:07"
"107000049841","760","20/4/2018 14:56:05"
"107000049843","860","20/4/2018 14:55:12"
"107000050007","2200","20/4/2018 14:53:49"
"107000050237","2200","20/4/2018 14:55:04"
"107000050333","420","20/4/2018 14:25:32"
"107000050469","1420","20/4/2018 14:39:01"
"107000050587","1720","20/4/2018 14:55:09"
"107000050629","780","20/4/2018 14:39:21"
"107000050805","1170","20/4/2018 14:52:56"
"107000050811","1000","20/4/2018 14:38:22"
"107000050867","1100","20/4/2018 14:25:20"
"107000050937","810","20/4/2018 14:55:09"
"107000051023","2300","20/4/2018 14:55:21"
"107000051163","415","20/4/2018 14:56:25"
"107000051209","1490","20/4/2018 14:55:07"
"107000051317","1790","20/4/2018 10:11:54"
"107000051417","690","20/4/2018 14:52:37"
"107000051481","790","20/4/2018 14:53:24"
"107000052393","330","20/4/2018 14:57:41"
"107000052539","988","20/4/2018 14:52:24"
"107000052693","810","20/4/2018 14:55:12"
"107000052905","265","20/4/2018 14:26:36"
"107000053381","1200","20/4/2018 14:26:01"
"107000053855","1350","20/4/2018 14:25:41"
"107000053943","960","20/4/2018 14:54:29"
"107000053987","2998","20/4/2018 14:51:46"
"107000054005","280","20/4/2018 14:50:22"
"107000054061","174","20/4/2018 15:06:12"
"107000054105","245","20/4/2018 14:43:21"
"107000054369","320","20/4/2018 14:42:12"
"107000054625","850","20/4/2018 14:52:27"
"107000054767","2300","20/4/2018 14:25:17"
"107000054811","800","20/4/2018 14:55:38"
"107000054971","330","20/4/2018 14:47:56"
"107000055021","1300","20/4/2018 14:55:46"
"107000055133","920","20/4/2018 14:24:20"
"107000055313","1350","20/4/2018 14:24:22"
"107000055513","210","20/4/2018 14:36:55"
"107000055515","475","20/4/2018 14:30:00"
"107000055581","450","20/4/2018 14:55:21"
"107000055701","1200","20/4/2018 14:55:07"
"107000056845","1260","20/4/2018 14:52:02"
"107000057047","3700","20/4/2018 14:39:24"
"107000057067","1450","20/4/2018 14:56:17"
"107000057093","305","20/4/2018 10:14:04"
"107000057385","360","20/4/2018 14:19:57"
"107000057393","258","20/4/2018 14:55:24"
"107000057461","1380","20/4/2018 14:56:11"
"107000057537","2150","20/4/2018 14:41:10"
"107000057759","1280","20/4/2018 14:55:01"
"107000057963","140","20/4/2018 14:58:20"
"107000057975","286","20/4/2018 14:18:19"
"107000058075","660","20/4/2018 14:29:31"
"107000058317","260","20/4/2018 14:15:25"
"107000058723","1300","20/4/2018 14:51:57"
"107000058787","1380","20/4/2018 14:52:08"
"107000058879","162","20/4/2018 15:10:14"
"107000059103","400","20/4/2018 15:06:33"
"107000059163","1000","20/4/2018 14:51:57"
"107000059449","1500","20/4/2018 14:55:10"
"107000059531","1050","20/4/2018 14:55:46"
"107000059551","2050","20/4/2018 10:10:03"
"107000059611","720","20/4/2018 15:10:28"
"107000059641","720","20/4/2018 14:56:25"
"107000059699","1650","20/4/2018 10:11:22"
"107000059849","1030","20/4/2018 14:56:31"
"107000059979","2280","20/4/2018 14:26:28"
"107000060061","910","20/4/2018 14:56:02"
"107000060391","1150","20/4/2018 14:51:54"
"107000060491","1150","20/4/2018 14:53:24"
